#freq (MHz),Tsys (Average; K),gain (Average; K/Jy)
3461.816406,36.6507513,1.660928856
3460.351563,36.43167623,1.650818581
3458.886719,36.28741456,1.642768738
3457.421875,36.10936642,1.632680888
3455.957031,36.08207812,1.625103328
3454.492188,36.01272085,1.616932621
3453.027344,35.9456814,1.607688624
3451.5625,35.9293422,1.599840806
3450.097656,35.94162837,1.592637771
3448.632813,36.03325126,1.589371874
3447.167969,36.1473973,1.587706158
3445.703125,36.27132435,1.588035165
3444.238281,36.42871333,1.590722492
3442.773438,36.56284373,1.595829028
3441.308594,36.74355486,1.604083437
3439.84375,36.88695018,1.613955854
3438.378906,36.99318714,1.625880624
3436.914063,37.02544796,1.63769382
3435.449219,37.10512408,1.653760277
3433.984375,37.12122351,1.67059037
3432.519531,37.18906359,1.691367444
3431.054688,37.2282862,1.713726232
3429.589844,37.26176255,1.73618453
3428.125,37.22359168,1.757111298
3426.660156,37.20097098,1.776004519
3425.195313,37.16255969,1.792667352
3423.730469,37.11577118,1.80634366
3422.265625,37.16767545,1.818625608
3420.800781,37.2015291,1.825750299
3419.335938,37.33945892,1.832494999
